"","Object","Ch1.mean","Ch2_d1.mean","Ch3_d1.mean","Ch4_d1.mean","Ch5_d1.mean","Ch6_d1.mean","Ch7_d1.mean","Ch1..pixels","Ch1.sum","Ch1.max","Ch1.SD","Ch1.AR","Ch1.F_min","Ch1.F_max","Ch1.mean_th","Ch1.mean_sq","Ch1_d0.mean","Ch1_d0.sum","Ch1_d0.max","Ch1_d0.SD","Ch1_d0.mean_th","Ch1_d0.mean_sq"
"1856","Normal",34,7,3,0,0,2,0,61,2112,44,4.878860388,2.197225388,3.560660172,7.823572927,37,1369,34,2112,44,31.69009774,37,1156
"18721","Disease A",70,4,3,1,2,2,0,833,58344,171,26.99486412,1.885669323,4.01655236,7.573889572,97,9409,70,58344,171,71.80327767,97,4900
"6864","Normal",44,5,2,0,0,3,0,347,15503,79,11.4866167,1.761688251,6.202325018,10.92656311,58,3364,44,15503,79,39.74660372,58,1936
"7795","Normal",35,3,2,0,0,7,0,523,18641,52,5.419672402,1.417251409,5.005698567,7.094333347,38,1444,35,18641,52,32.95271541,38,1225
"7695","Normal",50,3,1,0,0,2,0,172,8679,96,18.99020555,1.688018489,3.022338044,5.101762498,63,3969,50,8679,96,44.41447229,63,2500
"24581","Disease A",69,2,0,0,0,0,0,101,6980,127,21.26471535,2.641841462,1.670785554,4.413950551,76,5776,69,6980,127,61.73931142,76,4761
"20664","Disease A",90,3,4,1,1,3,0,405,36695,189,39.87551617,2.357183639,3.549875427,8.367708279,129,16641,90,36695,189,80.30686516,129,8100
"11027","Normal",41,68,1,0,0,7,0,30,1234,60,9.416297928,1.284018819,2.276142375,2.922609645,46,2116,41,1234,60,31.8658647,46,1681
"18910","Disease A",49,2,4,1,0,21,3,55,2708,69,7.455321467,1.472114029,1.725244707,2.539756937,50,2500,49,2708,69,41.60222896,50,2401
"201","Normal",36,7,2,0,0,5,0,54,1960,46,5.887840578,1.285799243,4.060660172,5.221193775,38,1444,36,1960,46,33.33472219,38,1296
"22488","Disease A",72,4,17,5,1,22,3,817,58973,168,27.3299572,1.591905721,6.426622424,10.230577,103,10609,72,58973,168,74.5315193,103,5184
"15790","Disease A",75,10,7,2,1,19,2,87,6573,159,34.1219921,1.930399796,3.180341524,6.139330628,100,10000,75,6573,159,58.77523914,100,5625
"1937","Normal",38,7,1,0,0,2,0,34,1316,72,9.707486498,1.59920693,2,3.19841386,40,1600,38,1316,72,30.96820001,40,1444
"24133","Disease A",58,4,5,1,2,2,0,595,34656,117,15.33250515,1.71634887,7.509937317,12.88967243,74,5476,58,34656,117,58.71370504,74,3364
"22633","Disease A",51,3,4,2,0,40,6,406,20954,96,12.38175601,2.023171909,2.462982306,4.983036615,58,3364,51,20954,96,45.67034911,58,2601
"8418","Normal",48,3,2,0,0,4,0,675,32514,99,15.72367877,1.913761086,5.507882411,10.54077103,61,3721,48,32514,99,41.83289508,61,2304
"19773","Disease A",71,4,5,3,0,37,6,660,47096,153,26.72131711,1.94980785,4.313410267,8.410321197,95,9025,71,47096,153,67.62463241,95,5041
"19101","Disease A",62,3,1,0,1,1,0,70,4341,104,18.33225105,2.972922248,2.07912008,6.181062343,84,7056,62,4341,104,55.51923734,84,3844
"2029","Normal",35,7,2,0,0,9,0,750,26528,52,5.714426189,1.517833719,4.942611429,7.502062285,37,1369,35,26528,52,33.98315269,37,1225
"2700","Normal",44,4,1,0,0,2,0,264,11697,65,9.736101205,1.642750918,5.913769254,9.714849871,53,2809,44,11697,65,39.57759927,53,1936
"24277","Disease A",53,2,3,1,1,5,0,43,2279,78,9.626755352,2.136975146,1.648528137,3.522863658,56,3136,53,2279,78,47.2843944,56,2809
"17181","Disease A",56,3,3,2,0,39,6,460,26110,98,15.65705842,1.850230567,5.674231608,10.49863677,71,5041,56,26110,98,53.33187724,71,3136
"19948","Disease A",59,3,3,1,0,16,2,49,2895,101,14.05383236,1.982001445,1.041421356,2.064098632,61,3721,59,2895,101,45.66492871,61,3481
"29092","Disease A",43,2,0,1,0,7,0,22,959,53,3.464101615,1.656854249,1.024264069,1.697056275,43,1849,43,959,53,35.82343063,43,1849
"12859","Normal",37,5,1,0,0,3,0,748,28093,78,10.50521897,1.692806125,4.525091221,7.660102136,42,1764,37,28093,78,33.86273013,42,1369
"27851","Disease A",55,7,3,1,0,11,1,57,3187,87,12.64633641,1.78013647,2.930950539,5.217491947,63,3969,55,3187,87,53.77992843,63,3025
"13369","Normal",40,6,1,0,0,9,0,115,4707,55,7.204467213,1.449565479,2.95395279,4.281947992,44,1936,40,4707,55,37.36680694,44,1600
"11978","Normal",39,5,1,0,0,1,0,452,17670,77,10.31033934,2.041490337,3.926335707,8.015576404,43,1849,39,17670,77,35.97242676,43,1521
"9242","Normal",39,3,5,0,0,2,0,517,20276,58,7.113068584,1.436656076,4.441724667,6.381230731,44,1936,39,20276,58,37.1251217,44,1521
"21655","Disease A",85,5,2,1,1,2,0,50,4276,161,35.83071308,1.67497927,6,10.04987562,146,21316,85,4276,161,80.21870106,146,7225
"215","Normal",38,1,1,0,0,5,0,106,4059,57,7.812665093,1.658946961,3.45936681,5.738906058,41,1681,38,4059,57,33.98584611,41,1444
"7461","Normal",44,11,1,0,0,5,0,335,14755,94,14.08789043,1.545930698,5.688858075,8.794580333,57,3249,44,14755,94,37.71448117,57,1936
"10463","Normal",30,10,2,0,0,11,1,23,692,36,2.166945356,2.894868827,2.84856128,8.246211251,30,900,30,692,36,27.30902065,30,900
"26617","Disease A",60,2,2,1,0,10,1,107,6513,92,15.2866688,1.44739501,2.649048519,3.834219609,71,5041,60,6513,92,53.30269759,71,3600
"12516","Normal",39,10,2,0,0,2,0,681,26870,59,7.894681196,1.712718459,6.907717573,11.8309754,48,2304,39,26870,59,38.21740115,48,1521
"20537","Disease A",54,3,4,2,0,25,3,173,9352,101,12.41619304,1.611997304,2.3207333,3.741015823,59,3481,54,9352,101,47.46382864,59,2916
"15118","Disease A",66,5,3,1,1,9,1,180,12038,121,22.69789515,2.163799129,2.097041806,4.537577232,80,6400,66,12038,121,56.88687605,80,4356
"8541","Normal",39,12,1,0,0,2,0,123,4883,58,7.438637868,1.460315633,3.905586289,5.703388715,43,1849,39,4883,58,35.39555803,43,1521
"9645","Normal",37,5,3,0,0,4,0,760,28739,58,6.440619454,1.832221239,4.602285466,8.432405179,42,1764,37,28739,58,36.41867291,42,1369
"12689","Normal",32,3,1,0,0,9,0,174,5633,43,3.611125847,2.00950154,2.963402386,5.95496166,34,1156,32,5633,43,30.05206211,34,1024
"27199","Disease A",62,4,11,3,3,2,0,44,2764,106,20.26640749,2.378065997,1.75,4.161615495,78,6084,62,2764,106,48.78897044,78,3844
"15098","Disease A",79,6,5,2,2,4,0,889,71055,181,30.79994595,1.839208641,6.868270121,12.63218176,116,13456,79,71055,181,70.14699334,116,6241
"28599","Disease A",54,4,3,1,1,2,0,60,3286,87,13.45857843,1.527383681,7.407247202,11.3137085,80,6400,54,3286,87,51.70992812,80,2916
"12527","Normal",31,38,1,0,0,2,0,91,2847,37,2.453971887,1.929470243,2.802444038,5.407232381,31,961,31,2847,37,29.23267779,31,961
"1256","Normal",34,9,2,0,0,4,0,150,5118,46,4.668333036,1.279659608,5.426610932,6.944214818,34,1156,34,5118,46,31.72548923,34,1156
"19307","Disease A",62,5,4,2,0,21,3,57,3582,106,19.41693961,1.853359457,4,7.413437828,89,7921,62,3582,106,61.92057731,89,3844
"23877","Disease A",46,3,2,0,1,2,0,32,1478,62,5.320949163,2.019740115,1.845177969,3.726779962,47,2209,46,1478,62,37.91891019,47,2116
"6411","Normal",46,16,0,0,0,0,0,586,27452,116,15.48890388,1.982512786,3.419848794,6.779893963,59,3481,46,27452,116,44.32137136,59,2116
"18538","Disease A",89,6,5,2,2,4,0,811,72679,192,34.29576874,1.702809805,12.18239038,20.74429379,153,23409,89,72679,192,91.83248165,153,7921
"28991","Disease A",53,4,1,0,1,4,0,20,1065,72,9.473647661,1.414213562,3.535533906,5,63,3969,53,1065,72,44.81740733,63,2809
"27220","Disease A",55,3,10,2,3,1,0,154,8574,86,13.12155954,1.571421845,3.379550607,5.310699651,64,4096,55,8574,86,51.39293498,64,3025
"955","Normal",45,4,1,0,0,3,0,79,3561,73,11.91159418,1.997046514,2.569041398,5.130495168,51,2601,45,3561,73,38.90787561,51,2025
"16020","Disease A",63,3,1,0,1,1,0,74,4690,120,18.7230888,1.771025144,3.086049017,5.465470407,70,4900,63,4690,120,51.95177077,70,3969
"11783","Normal",37,4,4,0,0,10,1,294,10931,56,7.459413995,1.440008289,3.458332956,4.980028123,39,1521,37,10931,56,34.83727966,39,1369
"16239","Disease A",48,4,6,2,1,15,2,104,5088,73,7.964464345,1.455571895,2.476637237,3.604923555,50,2500,48,5088,73,43.94686477,50,2304
"19548","Disease A",59,3,3,1,2,3,0,31,1847,97,18.5246131,1.840893503,4.242640687,7.810249676,90,8100,59,1847,97,54.68472689,90,3481
"18872","Disease A",65,4,2,1,0,12,1,181,11900,119,20.69416871,1.722759755,3.547035861,6.110690632,82,6724,65,11900,119,60.89856615,82,4225
"2453","Normal",36,7,2,0,0,12,1,146,5378,51,5.548046676,1.403063428,4.43782028,6.226543336,38,1444,36,5378,51,32.84302641,38,1296
"27621","Disease A",52,3,2,1,1,3,0,120,6276,93,9.616392255,1.680385416,2.366016918,3.975820323,56,3136,52,6276,93,44.60680068,56,2704
"18053","Disease A",81,3,1,0,0,6,0,68,5512,136,24.30746678,1.639459742,2.034662955,3.335748004,91,8281,81,5512,136,72.62899275,91,6561
"3495","Normal",36,16,1,0,0,1,0,25,920,49,7.054076835,1.383702002,2.353553391,3.256616538,42,1764,36,920,49,32.56316938,42,1296
"11773","Normal",34,6,1,0,0,4,0,157,5429,41,3.455817582,1.35372909,3.584554727,4.852516008,35,1225,34,5429,41,32.14279446,35,1156
"2734","Normal",37,10,1,0,0,10,1,68,2563,52,5.961888765,1.595419134,4.64427987,7.40957297,41,1681,37,2563,52,32.93085448,41,1369
"16450","Disease A",62,2,1,0,0,6,1,70,4373,91,15.76071064,2.180664668,1.388400942,3.027636878,68,4624,62,4373,91,53.63194677,68,3844
"12666","Normal",46,6,3,0,0,5,0,328,15400,87,13.285445,1.982863894,3.862297178,7.658409621,53,2809,46,15400,87,43.50136667,53,2116
"27875","Disease A",45,3,0,0,0,1,0,32,1467,62,7.325042662,1.631843876,1.593036226,2.599586409,50,2500,45,1467,62,43.00036337,50,2025
"21509","Disease A",56,2,6,1,2,2,0,162,9126,100,14.86855992,2.283738698,1.475125143,3.368800375,60,3600,56,9126,100,46.54627327,60,3136
"25601","Disease A",44,3,2,1,0,17,2,22,984,52,4.242640687,1.578584445,1.25,1.973230557,44,1936,44,984,52,37.14957482,44,1936
"1880","Normal",40,9,2,0,0,8,0,206,8313,60,8.401340623,1.320507493,3.85105037,5.085340869,45,2025,40,8313,60,37.38931886,45,1600
"19158","Disease A",71,13,4,1,2,7,0,88,6294,100,17.62423435,2.053690127,6.886207144,14.14213562,90,8100,71,6294,100,68.09068151,90,5041
"18145","Disease A",68,3,5,2,0,20,3,140,9620,157,27.54865825,2.612112967,1.740098575,4.545334052,82,6724,68,9620,157,60.29895758,82,4624
"18044","Disease A",82,4,2,1,1,1,0,63,5221,140,32.71497885,1.91672073,3.064129385,5.873080313,125,15625,82,5221,140,71.00145315,125,6724
"16415","Disease A",55,4,3,1,2,2,0,106,5905,80,12.45103618,1.649129901,5.002298617,8.249440223,67,4489,55,5905,80,48.73619785,67,3025
"10054","Normal",29,6,5,0,0,7,0,52,1543,38,2.872281323,1.339447569,4.631505606,6.203658925,33,1089,29,1543,38,26.73984351,33,841
"4293","Normal",31,3,2,0,0,13,1,98,3132,41,3.484660262,1.539483011,3.307015463,5.091094122,32,1024,31,3132,41,27.46166159,32,961
"14043","Normal",39,9,3,0,0,11,0,388,15216,61,7.753948113,1.730121981,5.012189086,8.671698509,44,1936,39,15216,61,36.995681,44,1521
"4310","Normal",40,7,1,0,0,3,0,194,7807,62,8.998568042,1.745988898,4.968055344,8.674169472,46,2116,40,7807,62,36.01717803,46,1600
"23332","Disease A",57,4,1,0,1,2,0,35,2003,79,13.48650119,2.545809736,2.365526222,6.022179688,66,4356,57,2003,79,54.73572873,66,3249
"12293","Normal",42,4,0,0,0,1,0,197,8282,59,8.529733007,1.627344419,5.110206314,8.316065725,47,2209,42,8282,59,37.85076225,47,1764
"10393","Normal",35,1,1,0,0,8,0,155,5464,53,5.84531795,1.267136353,4.255071059,5.391755222,39,1521,35,5464,53,31.75572085,39,1225
"18942","Disease A",48,2,0,0,0,0,0,26,1262,69,7.638465412,1.94382547,1.421835455,2.763799972,50,2500,48,1262,69,39.35049604,50,2304
"23706","Disease A",53,3,6,3,0,49,8,94,5061,89,11.03138656,1.693140129,2.526661853,4.277992576,56,3136,53,5061,89,45.96170932,56,2809
"27784","Disease A",53,5,1,0,0,2,0,270,14370,111,14.95226974,2.15276022,2.360707758,5.082037752,60,3600,53,14370,111,53.34239506,60,2809
"29056","Disease A",41,2,0,0,0,1,0,29,1209,46,2.109093611,2.259487058,0.676776695,1.529168184,41,1681,41,1209,46,33.39213205,41,1681
"20031","Disease A",69,6,7,2,3,2,0,692,48345,141,21.57996957,1.651601473,8.574302387,14.16133045,99,9801,69,48345,141,70.73017196,99,4761
"15950","Disease A",66,3,4,1,0,24,3,163,10863,138,22.40782072,1.71942243,2.768929608,4.760959674,91,8281,66,10863,138,57.03507693,91,4356
"21025","Disease A",61,6,2,1,1,3,0,738,45397,136,17.89872897,1.814488696,4.726501001,8.576182637,83,6889,61,45397,136,58.12235948,83,3721
"4855","Normal",35,6,1,0,0,1,0,246,8647,51,5.119308261,1.767127694,2.586025103,4.569836577,36,1296,35,8647,51,33.01410145,36,1225
"8643","Normal",39,6,5,0,0,7,0,632,24812,65,7.35976489,1.754775084,6.652197405,11.67311026,45,2025,39,24812,65,36.32943065,45,1521
"2759","Normal",38,4,4,0,0,1,0,895,34203,67,9.059887651,1.5779184,3.607315422,5.692049378,40,1600,38,34203,67,37.08856982,40,1444
"25695","Disease A",53,3,2,1,0,24,3,132,7022,77,9.721111048,1.784482003,2.153163917,3.84228226,59,3481,53,7022,77,46.34799201,59,2809
"19260","Disease A",52,4,6,2,0,29,4,126,6640,81,11.07406523,1.796774463,2.481619313,4.45891021,62,3844,52,6640,81,44.8948507,62,2704
"6873","Normal",46,40,1,0,0,11,1,253,11844,114,15.8210097,1.698384143,4.586806789,7.790159918,58,3364,46,11844,114,39.6028206,58,2116
"21329","Disease A",70,4,2,1,1,7,2,489,34379,151,23.37276831,1.608810176,6.757454634,10.87146178,98,9604,70,34379,151,62.31659388,98,4900
"10064","Normal",33,9,1,0,0,7,0,172,5769,45,4.11816735,1.434894742,3.423466416,4.912313961,34,1156,33,5769,45,30.30244829,34,1089
"2056","Normal",45,4,2,0,0,9,0,612,27947,92,13.60957708,1.525855365,6.593492664,10.06071615,64,4096,45,27947,92,41.53677794,64,2025
"8919","Normal",34,2,1,0,0,4,0,613,21366,53,5.262133497,1.58335538,3.846030951,6.089633797,37,1369,34,21366,53,32.65008013,37,1156
"14261","Normal",41,10,1,0,0,15,1,188,7854,91,13.96062091,1.634461406,4.172354566,6.81955251,45,2025,41,7854,91,40.65428977,45,1681
"15920","Disease A",62,4,5,2,0,41,6,627,39141,157,20.2364413,2.561376161,4.344065822,11.12678664,80,6400,62,39141,157,63.76206769,80,3844
"19924","Disease A",68,4,9,3,0,50,7,149,10152,124,21.93660788,2.40347886,2.193297302,5.271543699,79,6241,68,10152,124,61.55365423,79,4624
"13319","Normal",50,61,3,0,0,4,0,156,7803,91,15.59359665,1.967864175,3.17694361,6.251793516,60,3600,50,7803,91,44.98133516,60,2500
"21656","Disease A",75,4,2,0,1,2,0,32,2406,125,21.38340478,1.862629259,4.949747468,9.219544457,115,13225,75,2406,125,73.3866047,115,5625
"26733","Disease A",49,3,1,0,1,1,0,166,8243,76,8.894630843,2.716319797,2.023844259,5.497408226,58,3364,49,8243,76,44.0837784,58,2401
"4714","Normal",40,2,6,0,0,2,0,729,29656,75,10.15091879,1.536596004,5.322258384,8.178160967,48,2304,40,29656,75,35.65982012,48,1600
"21099","Disease A",60,3,1,0,0,1,0,537,32340,115,17.44194948,2.244222995,2.729428881,6.125447057,74,5476,60,32340,115,57.5156201,74,3600
"496","Normal",36,3,1,0,0,7,0,35,1279,52,6.054514254,1.424573745,3,4.273721234,38,1444,36,1279,52,32.80984173,38,1296
"16041","Disease A",72,3,1,1,1,2,0,335,24158,160,29.90312718,2.260611978,4.291942912,9.702417553,114,12996,72,24158,160,67.82935128,114,5184
"13514","Normal",38,4,2,0,0,3,0,104,4026,53,6.752492417,1.388868866,3.987436867,5.538026919,41,1681,38,4026,53,32.76445659,41,1444
"26214","Disease A",45,4,5,2,0,34,4,30,1350,61,5.507570547,1.937662761,2.5,4.844156903,47,2209,45,1350,61,42.00872925,47,2025
"23293","Disease A",77,5,2,1,1,5,1,126,9786,155,27.79916637,2.169755302,5.978822342,12.97258147,142,20164,77,9786,155,74.52138289,142,5929
"8519","Normal",39,4,2,0,0,7,0,700,27691,59,8.058890388,1.829134638,5.293709969,9.682908269,46,2116,39,27691,59,37.56989676,46,1521
"13849","Normal",45,36,2,0,0,8,0,716,32733,110,16.52495151,1.522883766,4.068372099,6.195657824,63,3969,45,32733,110,44.96899925,63,2025
"3545","Normal",51,37,0,0,0,9,0,799,40931,106,17.44076332,1.716080621,4.16009168,7.139052714,69,4761,51,40931,106,51.17209424,69,2601
"3173","Normal",42,4,2,0,0,6,0,524,22163,82,11.84642504,1.778760519,3.764811011,6.696697186,47,2209,42,22163,82,41.71465684,47,1764
"17278","Disease A",59,4,1,0,1,2,0,462,27680,115,16.29802261,2.276848248,2.895483151,6.59257574,73,5329,59,27680,115,53.4542528,73,3481
"3618","Normal",34,1,3,0,0,5,0,388,13325,48,4.657606571,1.319222513,4.307035141,5.681937723,36,1296,34,13325,48,31.86751731,36,1156
"8124","Normal",35,7,3,0,0,4,0,26,930,41,4.197068574,2.119219577,3.40271609,7.211102551,38,1444,35,930,41,32.95509766,38,1225
"7698","Normal",34,4,1,0,0,5,0,123,4246,46,3.912664449,1.331071514,3.870362062,5.151728687,36,1296,34,4246,46,32.22116156,36,1156
"12441","Normal",57,32,0,0,0,1,0,459,26298,129,23.89843251,1.678584723,4.385055983,7.360687981,72,5184,57,26298,129,55.14662571,72,3249
"7336","Normal",47,9,3,0,0,6,0,54,2560,72,12.62419781,1.488130666,3.248402863,4.834047917,52,2704,47,2560,72,38.81174889,52,2209
"28771","Disease A",49,3,1,1,0,9,1,47,2309,63,5.192056125,2.263048084,1.353553391,3.063156407,49,2401,49,2309,63,39.99148846,49,2401
"3764","Normal",34,12,1,0,0,1,0,84,2934,51,5.998015545,1.855508604,2.143489423,3.977263066,36,1296,34,2934,51,31.33630938,36,1156
"19782","Disease A",87,6,6,2,2,3,0,241,21113,195,38.68159201,1.496633658,6.866836941,10.27713929,153,23409,87,21113,195,89.67122984,153,7569
"3679","Normal",44,5,2,0,0,7,0,156,6992,73,11.64264927,1.305902094,3.456920729,4.51440002,52,2704,44,6992,73,39.92637455,52,1936
"16807","Disease A",59,4,3,1,0,17,2,541,32301,117,16.84944752,1.9195778,3.554038735,6.822253854,73,5329,59,32301,117,56.23728445,73,3481
"24298","Disease A",49,2,5,3,0,45,7,60,2948,69,8.074651695,2.049963906,1.278575691,2.621034017,52,2704,49,2948,69,39.78400013,52,2401
"23884","Disease A",48,3,2,1,0,8,1,57,2757,73,9.771961322,2.967750778,1.43001325,4.243922935,50,2500,48,2757,73,42.22142966,50,2304
"20111","Disease A",64,3,8,2,3,2,0,163,10525,119,18.65755328,1.307678484,3.744743348,4.896920306,82,6724,64,10525,119,57.51740201,82,4096
"28799","Disease A",62,3,6,2,0,24,3,68,4252,109,18.47613723,2.117123772,1.629236331,3.449294967,71,5041,62,4252,109,51.32623455,71,3844
"27888","Disease A",50,3,3,1,0,24,3,88,4400,86,9.300537619,1.689413987,2.718228015,4.592212428,52,2704,50,4400,86,44.8582363,52,2500
"12882","Normal",33,5,2,0,0,6,0,154,5159,42,3.751190287,1.542757054,4.079381633,6.293494788,34,1156,33,5159,42,31.03883198,34,1089
"20821","Disease A",45,3,2,1,0,12,2,26,1188,55,4.616025597,1.613453686,1.347977466,2.174899212,47,2209,45,1188,55,38.05512196,47,2025
"6340","Normal",33,4,1,0,0,4,0,148,4949,44,3.771335701,1.412178128,3.448876518,4.870427984,34,1156,33,4949,44,31.42881274,34,1089
"27989","Disease A",47,2,1,1,0,16,2,55,2606,63,6.567135808,1.534035656,2.019211892,3.097543039,49,2401,47,2606,63,40.0020454,49,2209
"3150","Normal",36,9,1,0,0,8,0,434,16049,54,6.79607504,1.66589986,5.309993358,8.845917193,44,1936,36,16049,54,34.29181493,44,1296
"25877","Disease A",47,2,4,2,0,33,4,43,2063,61,5.229611573,1.493382624,1.943462499,2.902333126,48,2304,47,2063,61,41.37435449,48,2209
"25571","Disease A",48,2,0,0,0,1,0,31,1515,63,7.379133615,1.993528604,1.639488303,3.268366829,50,2500,48,1515,63,38.25888048,50,2304
"24539","Disease A",55,3,0,0,0,2,0,638,35588,111,13.05504383,2.029478934,4.256809121,8.639104437,68,4624,55,35588,111,54.79784736,68,3025
"14408","Normal",36,4,1,0,0,5,0,167,6024,47,4.970572082,1.297824075,3.942651048,5.116867448,38,1444,36,6024,47,33.44420682,38,1296
"28753","Disease A",73,3,1,0,0,4,0,217,16023,130,25.93522594,4.386832069,2.414890815,10.59372047,101,10201,73,16023,130,70.25939431,101,5329
"23856","Disease A",45,2,2,1,0,11,1,59,2709,64,6.032398404,2.092376061,1.624987062,3.400084027,47,2209,45,2709,64,35.88635546,47,2025
"10215","Normal",35,4,1,0,0,6,0,213,7569,56,5.579136184,1.531974064,3.810660172,5.837832549,37,1369,35,7569,56,32.81216996,37,1225
"20390","Disease A",53,4,2,1,1,6,1,392,20800,105,12.08104013,2.032832573,3.233956606,6.574092328,62,3844,53,20800,105,50.10236969,62,2809
"22987","Disease A",59,4,1,0,1,1,0,128,7616,91,12.8822795,2.215180305,3.294491952,7.297893687,72,5184,59,7616,91,53.32652951,72,3481
"5184","Normal",30,4,5,0,0,3,0,53,1632,38,2.261240267,1.913884853,2.880555711,5.513051942,31,961,30,1632,38,28.21447508,31,900
"22617","Disease A",62,4,2,1,1,2,0,392,24404,125,19.31466082,2.356056006,2.650642139,6.24506133,73,5329,62,24404,125,62.44332124,73,3844
"16176","Disease A",65,3,2,1,1,1,0,826,54420,152,23.2995547,1.987577406,3.462812342,6.882607574,80,6400,65,54420,152,64.81939894,80,4225
"18685","Disease A",57,3,6,2,0,35,5,145,8359,83,10.08412888,1.724485795,3.481246712,6.003360505,63,3969,57,8359,83,52.24194378,63,3249
"7113","Normal",40,8,1,0,0,1,0,20,811,54,8.511756575,1.589793401,2,3.179586802,43,1849,40,811,54,34.04555771,43,1600
"21256","Disease A",61,4,1,1,0,6,1,347,21213,126,18.68100177,1.867836673,3.161216299,5.904635735,74,5476,61,21213,126,57.59110062,74,3721
"5993","Normal",32,6,2,0,0,10,0,178,5858,45,3.925571597,1.492621869,4.437518898,6.623537753,33,1089,32,5858,45,30.48678107,33,1024
"9140","Normal",34,9,1,0,0,1,0,529,18333,61,5.84940176,1.929417869,2.833769071,5.467524681,36,1296,34,18333,61,31.70763774,36,1156
"19445","Disease A",51,4,4,2,1,17,2,24,1231,72,9.863653819,1.683244745,2.267766953,3.817206808,63,3969,51,1231,72,44.10593309,63,2601
"6043","Normal",48,9,3,0,0,5,0,276,13293,86,16.07985057,1.369072635,5.897215288,8.073716076,61,3721,48,13293,86,41.96176659,61,2304
"24218","Disease A",52,4,4,1,2,4,0,122,6434,73,8.711684259,1.534621618,2.875068152,4.41214174,55,3025,52,6434,73,46.50876878,55,2704
"19129","Disease A",63,3,3,1,0,13,2,122,7796,115,19.51250125,2.30140103,1.923745389,4.427309618,78,6084,63,7796,115,55.83362287,78,3969
"7821","Normal",32,6,0,0,0,1,0,147,4838,42,3.292952689,1.580519731,3.675698894,5.809514628,34,1156,32,4838,42,29.8563454,34,1024
"5939","Normal",34,3,2,0,0,2,0,129,4504,43,4.161469627,1.317356534,4.863434796,6.406877604,37,1369,34,4504,43,32.32502091,37,1156
"7815","Normal",34,14,3,0,0,7,0,155,5290,45,4.730818657,1.488486209,3.816506391,5.680817129,37,1369,34,5290,45,31.05915272,37,1156
"21413","Disease A",56,3,2,1,1,4,0,468,26425,92,13.09392434,1.804395362,4.865676304,8.779603757,66,4356,56,26425,92,54.66117468,66,3136
"18333","Disease A",74,5,3,1,1,7,1,336,25001,173,32.39764101,1.979011145,2.537780789,5.022296463,93,8649,74,25001,173,74.62571289,93,5476
"24252","Disease A",53,3,2,1,0,15,2,205,10958,82,11.35889036,1.625385624,2.896793003,4.708405703,61,3721,53,10958,82,48.78139389,61,2809
"12905","Normal",41,5,3,0,0,4,0,433,17993,69,9.67270391,2.270958602,9.500005041,21.57411817,55,3025,41,17993,69,39.17536224,55,1681
"8988","Normal",36,16,2,0,0,2,0,61,2214,48,6.247622499,1.992978657,2.25,4.484201977,38,1444,36,2214,48,31.24703265,38,1296
"18814","Disease A",49,4,1,0,1,2,0,44,2180,66,6.987000917,1.561785579,2.649915823,4.138600317,51,2601,49,2180,66,43.18643516,51,2401
"7321","Normal",30,7,3,0,0,4,0,30,925,34,1.974841766,1.22890361,4.949747468,6.08276253,30,900,30,925,34,28.47220867,30,900
"6843","Normal",45,21,1,0,0,4,0,443,20174,90,13.64695122,1.445316431,9.510006574,13.74496876,51,2601,45,20174,90,39.86829332,51,2025
"17811","Disease A",54,3,2,1,1,2,0,352,19257,98,13.41619611,2.205886158,2.624090909,5.788445812,63,3969,54,19257,98,52.30336553,63,2916
"2684","Normal",39,4,1,0,0,3,0,94,3692,61,7.823178872,1.317913182,2.922588984,3.851718549,43,1849,39,3692,61,34.39229256,43,1521
"26248","Disease A",50,3,4,2,0,28,4,181,9069,74,8.57627461,1.594443625,2.803110086,4.469401006,53,2809,50,9069,74,44.66919539,53,2500
"1129","Normal",44,4,2,0,0,11,0,900,40128,95,13.33691619,1.432531744,7.783615617,11.15027645,53,2809,44,40128,95,44.73484846,53,1936
"20237","Disease A",61,3,4,2,0,25,3,148,9072,107,15.67900128,2.540775891,2.33523453,5.933307595,73,5329,61,9072,107,56.31253281,73,3721
"1615","Normal",35,5,2,0,0,3,0,61,2158,59,7.63941462,1.331012206,3.333333333,4.436707355,38,1444,35,2158,59,31.50904112,38,1225
"19718","Disease A",82,3,5,2,0,25,4,57,4683,144,28.86812119,1.841931768,2.068331467,3.809725436,87,7569,82,4683,144,61.09311271,87,6724
"28290","Disease A",48,3,3,1,2,1,0,152,7413,76,8.424197604,1.651012053,2.389242518,3.944668194,51,2601,48,7413,76,44.27716234,51,2304
"9322","Normal",43,9,6,0,0,3,0,929,40829,70,9.820290499,1.787646733,5.430284082,9.707429597,53,2809,43,40829,70,41.22840629,53,1849
"885","Normal",35,7,0,0,0,6,0,561,19670,64,6.602678655,1.657320544,5.317678174,8.813097282,36,1296,35,19670,64,35.49790986,36,1225
"1393","Normal",32,8,2,0,0,4,0,67,2207,40,3.62001072,1.769394596,2.224264069,3.935600822,33,1089,32,2207,40,28.80143031,33,1024
"14329","Normal",36,6,1,0,0,8,1,69,2519,49,5.622161119,1.862629259,7,13.03840481,44,1936,36,2519,49,33.66372494,44,1296
"14194","Normal",32,12,3,0,0,13,1,44,1409,38,2.350048355,1.921568447,2.836497071,5.450523271,33,1089,32,1409,38,30.32887913,33,1024
