"","Object","Ch1.mean","Ch2_d1.mean","Ch3_d1.mean","Ch4_d1.mean","Ch5_d1.mean","Ch6_d1.mean","Ch7_d1.mean","Ch1..pixels","Ch1.sum","Ch1.max","Ch1.SD","Ch1.AR","Ch1.F_min","Ch1.F_max","Ch1.mean_th","Ch1.mean_sq","Ch1_d0.mean","Ch1_d0.sum","Ch1_d0.max","Ch1_d0.SD","Ch1_d0.mean_th","Ch1_d0.mean_sq"
"17431","Disease A",52,3,1,0,0,1,0,160,8385,87,10.7709099,3.657133064,1.25705806,4.597228595,57,3249,52,8385,87,47.38888319,57,2704
"23377","Disease A",54,3,2,1,0,8,1,43,2336,77,11.05167566,1.453940541,3.943740137,5.733963669,67,4489,54,2336,77,50.67819126,67,2916
"20101","Disease A",49,3,5,2,0,35,4,147,7331,80,8.345025811,1.604890918,2.939882474,4.718190682,54,2916,49,7331,80,44.53745653,54,2401
"28008","Disease A",53,2,0,0,0,1,0,78,4141,106,12.78921822,2.950533388,1.042829873,3.076904358,59,3481,53,4141,106,47.16705173,59,2809
"6962","Normal",40,26,0,0,0,2,0,414,16715,95,12.0791472,1.910766082,3.776157694,7.215354043,44,1936,40,16715,95,42.53711082,44,1600
"29431","Disease A",60,2,0,0,0,0,0,109,6636,94,14.80887411,1.504273343,2.912188442,4.380727444,71,5041,60,6636,94,52.44621535,71,3600
"7322","Normal",42,16,2,0,0,5,0,440,18630,77,12.33159283,1.485822284,4.52662684,6.725763029,51,2601,42,18630,77,40.61781405,51,1764
"1484","Normal",48,33,2,0,0,3,0,80,3862,67,11.00397655,1.793819937,3.74525308,6.718309644,56,3136,48,3862,67,42.32567188,56,2304
"2289","Normal",50,7,2,0,0,4,0,140,7116,78,12.56042538,1.394624918,3.873522957,5.402111635,58,3364,50,7116,78,45.3810061,58,2500
"7325","Normal",44,6,1,0,0,4,0,51,2255,64,10.87811258,1.629800601,5.656854249,9.219544457,59,3481,44,2255,64,41.58053843,59,1936
"11682","Normal",31,10,3,1,0,8,0,31,988,38,2.520880543,1.285251553,4.920869621,6.32455532,32,1024,31,988,38,28.96828076,32,961
"28823","Disease A",46,2,0,0,0,4,0,78,3594,74,6.706292491,2.28984789,1.736218267,3.975675734,49,2401,46,3594,74,39.74244002,49,2116
"28701","Disease A",47,4,1,0,0,6,0,36,1708,67,6.198117994,1.738089479,2.342824665,4.072038901,48,2304,47,1708,67,43.87133967,48,2209
"19360","Disease A",70,2,1,0,0,5,0,112,7862,147,23.16073494,1.882927539,1.796540339,3.38275528,81,6561,70,7862,147,60.82439595,81,4900
"25709","Disease A",46,3,7,3,0,61,12,23,1067,59,5.212860351,1.874032049,1.207106781,2.262156794,47,2209,46,1067,59,37.38983819,47,2116
"7215","Normal",46,12,7,1,0,3,0,289,13485,96,15.82582533,1.627405455,4.090221389,6.656448601,60,3600,46,13485,96,38.95929914,60,2116
"10566","Normal",48,8,2,0,0,7,0,55,2685,66,9.050364131,1.295767088,3,3.887301263,54,2916,48,2685,66,41.0303657,54,2304
"217","Normal",50,32,0,0,0,3,0,473,23869,103,18.19921472,1.691410154,4.405278908,7.451133478,66,4356,50,23869,103,45.2834157,66,2500
"17546","Disease A",45,3,4,1,0,17,2,31,1406,60,5.964951396,2.292004347,1.124067057,2.57636658,47,2209,45,1406,60,37.06707086,47,2025
"7419","Normal",38,5,2,0,0,6,0,191,7406,52,5.809362366,1.372867715,4.170341165,5.725326746,41,1681,38,7406,52,35.45257137,41,1444
"16275","Disease A",71,4,8,2,3,2,0,528,37771,145,25.95647581,1.791054784,4.800942536,8.598751096,104,10816,71,37771,145,71.35315499,104,5041
"8279","Normal",34,3,3,0,0,7,0,224,7763,47,4.617513245,1.695065417,6.658368675,11.28637048,38,1444,34,7763,47,33.14335745,38,1156
"11967","Normal",47,10,2,0,0,8,0,518,24475,109,18.81119358,1.616474176,4.35187448,7.034692715,53,2809,47,24475,109,48.99310487,53,2209
"9701","Normal",36,5,2,0,0,4,0,24,885,41,4.153311931,1.624047432,2.09334353,3.399689185,37,1369,36,885,41,33.2797486,37,1296
"11076","Normal",30,7,2,0,0,3,0,20,612,36,2.50998008,1.817620177,3.479580278,6.32455532,31,961,30,612,36,27.6983754,31,900
"11733","Normal",39,9,1,0,0,12,1,368,14547,64,8.084472503,1.432609575,4.881431557,6.993185587,44,1936,39,14547,64,38.35124424,44,1521
"15120","Disease A",69,5,3,1,2,1,0,498,34429,136,21.97301192,1.976279546,5.841689914,11.54481229,88,7744,69,34429,136,66.92198599,88,4761
"29126","Disease A",49,4,0,0,0,2,0,41,2027,60,7.022611563,1.811266564,2.118667952,3.837472421,52,2704,49,2027,60,42.85909984,52,2401
"139","Normal",42,8,2,0,0,2,0,145,6151,65,9.367957125,1.794559503,3.937416524,7.065928239,49,2401,42,6151,65,37.51643318,49,1764
"16868","Disease A",53,3,5,2,0,34,5,129,6949,96,12.8382906,1.98193194,2.231169431,4.422025959,63,3969,53,6949,96,48.27978857,63,2809
"13255","Normal",52,5,1,0,0,2,0,142,7419,90,15.74376693,1.380875651,3.155330086,4.357118488,60,3600,52,7419,90,47.91475706,60,2704
"10244","Normal",37,6,2,0,0,3,0,568,21111,61,7.453258102,1.46491081,4.144366952,6.071127949,41,1681,37,21111,61,36.79377244,41,1369
"17205","Disease A",71,4,3,1,1,4,0,256,18275,140,25.13999863,2.062335757,4.218041414,8.699017633,96,9216,71,18275,140,63.14139639,96,5041
"6098","Normal",39,7,2,0,0,2,0,838,32813,68,8.24787526,1.675936344,6.965505162,11.67374325,48,2304,39,32813,68,36.3077209,48,1521
"3205","Normal",46,33,1,0,0,2,0,408,19118,100,14.87340369,1.878815778,4.299584937,8.078128018,59,3481,46,19118,100,42.81017151,59,2116
"6093","Normal",33,5,5,0,0,3,0,153,5079,42,3.363588187,1.481147171,3.864658148,5.724127483,34,1156,33,5079,42,29.81993894,34,1089
"6660","Normal",46,7,3,0,0,5,0,425,19763,78,13.04489984,1.455305246,5.947965481,8.656105369,58,3364,46,19763,78,42.0660545,58,2116
"27288","Disease A",44,2,1,1,0,13,1,25,1112,52,3.857460304,2.397373945,0.941421356,2.256939031,44,1936,44,1112,52,35.75639803,44,1936
"20923","Disease A",50,2,2,1,0,3,0,24,1223,61,7.277247648,2.219548056,1.085917728,2.410246581,54,2916,50,1223,61,44.72927826,54,2500
"5753","Normal",35,6,2,0,0,9,0,202,7227,49,5.580198371,1.285268965,4.515228817,5.803283467,38,1444,35,7227,49,33.65219602,38,1225
"19116","Disease A",47,3,1,0,1,2,0,259,12362,80,8.59783577,2.132200986,2.804283396,5.979295822,50,2500,47,12362,80,41.45770511,50,2209
"23635","Disease A",44,3,6,2,0,39,6,114,5091,65,5.111047546,2.293190638,1.190439598,2.72990494,45,2025,44,5091,65,36.86271353,45,1936
"6700","Normal",39,7,1,0,0,3,0,375,14930,75,9.191590359,3.783191082,2.205016551,8.341998954,45,2025,39,14930,75,37.79763661,45,1521
"19715","Disease A",62,2,0,0,0,0,0,96,6046,129,19.71991379,2.424179659,1.555707772,3.771315136,68,4624,62,6046,129,58.30505267,68,3844
"19591","Disease A",69,2,1,0,0,1,0,119,8228,118,20.26028113,1.635938195,2.618849723,4.28427629,86,7396,69,8228,118,60.12773518,86,4761
"27060","Disease A",48,3,3,1,0,25,3,115,5624,70,7.133509411,1.948477418,1.639197619,3.193939543,52,2704,48,5624,70,43.16641206,52,2304
"19968","Disease A",59,5,14,8,0,115,25,175,10328,94,12.81427775,1.600746306,4.844986593,7.75559439,69,4761,59,10328,94,52.40643363,69,3481
"3373","Normal",38,1,1,0,0,7,0,663,25456,67,7.530330826,1.856386713,4.897651407,9.091934998,41,1681,38,25456,67,37.04123095,41,1444
"8438","Normal",36,3,4,0,0,15,1,620,22871,59,5.885191915,2.467683878,5.259144619,12.97790639,40,1600,36,22871,59,34.45768794,40,1296
"24822","Disease A",46,4,3,1,1,6,1,24,1127,63,6.360686546,2.698572635,0.926776695,2.500974228,48,2304,46,1127,63,35.16567929,48,2116
"26258","Disease A",43,3,4,1,2,6,1,23,997,49,3.900947488,2.134230127,2.229417003,4.758088933,43,1849,43,997,49,37.78888726,43,1849
"8698","Normal",31,2,4,0,0,7,0,391,12255,42,2.919639819,1.552515395,3.299246948,5.122131678,31,961,31,12255,42,29.52670125,31,961
"26390","Disease A",66,3,1,0,1,1,0,244,16130,128,18.39458224,1.944008433,3.334490669,6.482277979,78,6084,66,16130,128,63.0518262,78,4356
"27024","Disease A",64,3,1,1,0,3,0,683,44385,155,21.74873147,2.338432219,4.587411764,10.72735147,89,7921,64,44385,155,63.14474761,89,4096
"8383","Normal",37,4,2,0,0,9,0,582,21806,64,7.736755671,1.425056333,4.391436172,6.258043927,40,1600,37,21806,64,36.83011057,40,1369
"2251","Normal",35,5,2,0,0,5,0,297,10579,46,4.439643872,1.702900037,4.269861032,7.271146508,37,1369,35,10579,46,33.83088263,37,1225
"8947","Normal",33,2,3,0,0,2,0,476,15829,48,4.114689814,1.757158186,4.877962899,8.571352439,36,1296,33,15829,48,31.43350324,36,1089
"25581","Disease A",50,2,2,1,0,15,2,137,6986,74,8.779122547,2.409463475,2.147895512,5.175275783,60,3600,50,6986,74,43.66302617,60,2500
"11400","Normal",39,3,2,0,0,6,0,432,17152,59,7.74581727,1.575726045,4.899083217,7.719613021,46,2116,39,17152,59,37.76112787,46,1521
"18874","Disease A",60,3,5,2,0,26,3,177,10624,90,13.63590309,2.335755147,2.262876197,5.285524723,69,4761,60,10624,90,52.89991616,69,3600
"28840","Disease A",50,2,4,2,0,25,3,91,4592,71,8.98655895,2.052384939,1.72569518,3.541790797,54,2916,50,4592,71,43.23167845,54,2500
"28856","Disease A",50,4,1,0,1,1,0,25,1274,64,7.504665216,1.665722146,3.796884935,6.32455532,58,3364,50,1274,64,47.03020306,58,2500
"11556","Normal",39,12,3,0,0,9,0,244,9696,58,8.69143162,1.382163281,4.140383996,5.72268673,46,2116,39,9696,58,37.25488196,46,1521
"13518","Normal",39,10,3,0,0,4,0,521,20491,69,9.009485298,1.503641494,5.684157519,8.546935104,45,2025,39,20491,69,36.3336004,45,1521
"992","Normal",42,9,9,0,0,10,1,624,26296,73,11.16176222,1.723520666,6.744823609,11.62484288,53,2809,42,26296,73,39.79893376,53,1764
